Player Display Name,Time,Lat,Lon,Speed (m/s),Heart Rate (bpm),Instantaneous Acceleration Impulse
"Lirola",14:31:19.9,43.304887666666666,5.461760833333334,1.00277858,152,3.3611137999999996
"Lirola",14:31:20.0,43.30488833333333,5.461761833333333,1.04444528,152,0.41666699999999945
"Lirola",14:31:20.1,43.30488883333334,5.4617625,0.9166674,152,1.277778799999999
"Lirola",14:31:20.2,43.3048895,5.461763,0.8472229,152,0.6944450000000002
"Lirola",14:31:20.3,43.30489033333333,5.4617635,0.95000076,152,1.0277786
"Lirola",14:31:20.4,43.30489133333333,5.461763833333334,1.111112,152,1.611112400000001
"Lirola",14:31:20.5,43.304892333333335,5.461764166666667,1.16388982,152,0.5277781999999998
"Lirola",14:31:20.6,43.304893666666665,5.461764166666667,1.33611218,152,1.722223599999999
"Lirola",14:31:20.7,43.30489466666667,5.461764333333333,1.26666768,152,0.6944449999999991
"Lirola",14:31:20.8,43.30489566666667,5.4617648333333335,1.2083343,152,0.583333800000001
"Lirola",14:31:20.9,43.30489683333334,5.461765333333333,1.2916677,152,0.8333340000000011
"Lirola",14:31:21.0,43.304898,5.461766,1.34444552,152,0.5277781999999998
"Lirola",14:31:21.1,43.30489916666667,5.461766833333333,1.36944554,151,0.2500002000000001
"Lirola",14:31:21.2,43.30490016666666,5.4617675,1.33888996,151,0.3055558000000014
"Lirola",14:31:21.3,43.304901,5.461768166666666,1.19166762,151,1.472223399999999
"Lirola",14:31:21.4,43.304902,5.461769166666667,1.28888992,151,0.9722229999999987
"Lirola",14:31:21.5,43.30490316666666,5.46177,1.41944558,151,1.3055566000000018
"Lirola",14:31:21.6,43.30490416666667,5.461771,1.38611222,151,0.3333336000000009
"Lirola",14:31:21.7,43.30490533333333,5.461771833333334,1.41944558,151,0.3333336000000009
"Lirola",14:31:21.8,43.30490616666667,5.461772833333334,1.33888996,151,0.8055562000000016
"Lirola",14:31:21.9,43.304907,5.461774,1.3611122,150,0.2222224000000006
"Lirola",14:31:22.0,43.304907666666665,5.461775333333334,1.37222332,150,0.1111112000000003
"Lirola",14:31:22.1,43.30490833333333,5.461777,1.47777896,150,1.0555563999999995
"Lirola",14:31:22.2,43.30490866666667,5.461778333333333,1.31111216,150,1.666668
"Lirola",14:31:22.3,43.304909333333335,5.461779833333334,1.4444456,149,1.3333344000000014
"Lirola",14:31:22.4,43.30491016666667,5.4617815,1.56666792,149,1.2222231999999988
"Lirola",14:31:22.5,43.30491083333334,5.461782833333333,1.38889,149,1.7777792000000003
"Lirola",14:31:22.6,43.3049115,5.461783666666666,1.09166754,149,2.9722245999999997
"Lirola",14:31:22.7,43.304912333333334,5.461785,1.3333344,149,2.4166686000000004
"Lirola",14:31:22.8,43.30491266666667,5.4617865,1.40555668,149,0.7222227999999986
"Lirola",14:31:22.9,43.30491283333333,5.461787833333334,1.13055646,149,2.750002199999999
"Lirola",14:31:23.0,43.304913,5.461789333333334,1.20000096,149,0.6944449999999991
"Lirola",14:31:23.1,43.30491283333333,5.461791333333333,1.39166778,149,1.9166682000000002
"Lirola",14:31:23.2,43.30491266666667,5.461793333333334,1.67222356,149,2.8055578000000003
"Lirola",14:31:23.3,43.30491283333333,5.4617955,1.86944594,149,1.9722238000000014
"Lirola",14:31:23.4,43.30491316666667,5.4617975,1.6388902,149,2.3055574
"Lirola",14:31:23.5,43.30491383333334,5.4617995,1.55000124,148,0.8888896000000002
"Lirola",14:31:23.6,43.30491466666666,5.461801333333334,1.65000132,148,1.0000008000000005
"Lirola",14:31:23.7,43.30491583333333,5.461803833333334,2.29722406,148,0
"Lirola",14:31:23.8,43.304917333333336,5.461805333333333,2.13055726,148,1.6666680000000023
"Lirola",14:31:23.9,43.3049185,5.461807,1.86944594,148,2.611113199999997
"Lirola",14:31:24.0,43.30491933333333,5.461808166666667,1.5972235,148,2.7222244000000018
"Lirola",14:31:24.1,43.3049205,5.461809833333334,1.66111244,148,0.6388894
"Lirola",14:31:24.2,43.30492116666666,5.461811166666667,1.36666776,148,2.9444468
"Lirola",14:31:24.3,43.304922166666664,5.461810666666667,1.08055642,148,2.8611133999999994
"Lirola",14:31:24.4,43.30492183333334,5.461810333333333,0,148,0
"Lirola",14:31:24.5,43.30492283333333,5.461809666666667,0.94722298,148,0
"Lirola",14:31:24.6,43.30492383333333,5.461808166666667,1.3333344,148,3.8611142
"Lirola",14:31:24.7,43.30492516666666,5.461806,1.8611126,148,5.277781999999999
"Lirola",14:31:24.8,43.3049265,5.4618046666666675,1.87222372,148,0.1111112000000003
"Lirola",14:31:24.9,43.304927166666666,5.4618035,1.2361121,148,0
"Lirola",14:31:25.0,43.30492816666666,5.461802666666666,1.32777884,148,0.9166673999999997
"Lirola",14:31:25.1,43.304928833333335,5.461801166666667,1.49166786,148,1.6388902000000005
"Lirola",14:31:25.2,43.3049295,5.461798833333333,1.85833482,148,3.666669600000001
"Lirola",14:31:25.3,43.30493,5.461796,2.222224,148,3.6388918000000015
"Lirola",14:31:25.4,43.3049305,5.461793333333334,2.25555736,148,0.3333335999999987
"Lirola",14:31:25.5,43.304931,5.461790666666667,2.18333508,148,0.7222228000000008
"Lirola",14:31:25.6,43.304931833333335,5.4617875,2.46944642,148,2.8611134000000016
"Lirola",14:31:25.7,43.3049325,5.461785333333334,2.15000172,148,3.1944470000000003
"Lirola",14:31:25.8,43.304933,5.461784,1.59444572,148,5.555560000000002
"Lirola",14:31:25.9,43.304933166666665,5.461781666666667,1.8194459,148,2.250001800000001
